interacao_id,cliente_id,tipo_interacao,responsavel,duracao_minutos,satisfacao_cliente,data_interacao
1,379,Suporte,Sr. Luiz Henrique Rocha,92,5,2026-03-27 20:18:38
2,22,Suporte,Matheus Almeida,62,2,2026-03-09 09:53:53
3,346,Suporte,Cauê Teixeira,120,2,2025-10-02 11:37:01
4,90,Ligação,Enzo Peixoto,51,2,2026-02-13 06:46:27
5,264,WhatsApp,Manuela Gomes,11,4,2025-07-22 03:45:48
6,254,Reunião,Pedro Lucas Duarte,26,3,2026-02-23 04:53:21
7,497,Ligação,Nathan Teixeira,48,2,2026-03-06 07:16:41
8,426,Suporte,Sra. Emanuelly Novaes,113,1,2026-05-15 03:31:44
9,149,WhatsApp,Ian da Mota,66,3,2026-01-25 13:04:20
10,136,E-mail,Heitor Sales,5,5,2025-09-14 05:47:02
11,202,E-mail,Sra. Alice Peixoto,44,5,2025-12-31 10:26:57
12,423,Ligação,Sra. Brenda Cavalcanti,64,5,2025-07-30 17:42:27
13,435,Reunião,Milena Novaes,12,3,2026-03-23 07:21:51
14,4,Suporte,Sr. Enzo Gabriel Azevedo,63,3,2025-06-21 01:27:30
15,153,WhatsApp,Benício Gomes,18,1,2026-03-28 22:56:09
16,180,E-mail,Breno Pires,56,3,2025-08-09 10:23:36
17,5,Ligação,Dr. Bernardo Correia,60,4,2025-10-28 03:33:39
18,102,Ligação,Marcelo da Cruz,72,5,2025-12-23 07:31:18
19,461,E-mail,Raquel Azevedo,57,1,2025-09-20 18:52:57
20,468,Reunião,Dr. Enrico Nunes,5,2,2025-09-13 12:24:24
21,394,WhatsApp,Francisco Duarte,33,4,2026-02-02 05:43:28
22,203,WhatsApp,Lara da Rosa,43,3,2025-11-21 06:01:01
23,220,E-mail,Bruna Porto,73,3,2026-04-16 17:44:17
24,56,Reunião,Alexandre Cardoso,89,4,2025-11-21 16:47:03
25,83,E-mail,Esther Ribeiro,50,4,2025-08-20 17:35:47
26,3,WhatsApp,Marcela Araújo,118,2,2025-06-08 19:33:45
27,57,E-mail,Clarice Caldeira,41,1,2026-05-04 07:46:32
28,69,Reunião,João Lucas Freitas,58,3,2025-09-10 01:03:56
29,462,Ligação,Luiz Miguel Costela,25,2,2026-04-23 10:14:28
30,486,Reunião,Dr. Thiago das Neves,90,3,2025-08-09 19:44:14
31,61,Reunião,João Lucas Barros,67,5,2026-05-04 14:07:37
32,254,E-mail,Augusto Monteiro,46,4,2026-02-25 17:48:28
33,257,Reunião,Gabrielly Castro,21,1,2025-08-24 20:49:19
34,491,Ligação,Srta. Maitê Carvalho,106,1,2025-11-12 00:52:27
35,65,E-mail,Heloísa Ribeiro,49,5,2025-10-17 11:59:03
36,7,E-mail,Luiz Otávio Aragão,11,3,2026-05-18 02:30:46
37,220,Suporte,Heitor Correia,99,1,2025-10-17 21:48:41
38,223,Reunião,Davi Luiz Sales,42,3,2025-07-09 18:54:19
39,249,Ligação,Rafaela Vieira,102,4,2025-07-28 00:56:29
40,127,Suporte,Breno Azevedo,24,5,2025-06-22 06:45:24
41,96,E-mail,Natália Fernandes,40,1,2025-07-17 08:28:17
42,443,WhatsApp,Luiz Miguel da Mata,94,2,2025-10-12 08:29:08
43,342,Reunião,Maria Alice Carvalho,30,4,2026-03-16 04:08:18
44,362,Ligação,Dra. Lívia Carvalho,94,5,2026-04-30 09:13:56
